name,nationality,sex,height,sport,gold,silver,bronze
Adelina Pastor,ROU,female,1.68,athletics,0,0,0
Adelinde Cornelissen,NED,female,1.68,equestrian,0,0,0
Adeline Maria Gray,USA,female,1.73,wrestling,0,0,0
Adem Boudjemline,ALG,male,1.80,wrestling,0,0,0
Adenizia da Silva,BRA,female,1.87,volleyball,0,0,0
Adham Ahmed Saleh Kahk,EGY,male,1.60,wrestling,0,0,0
Adilbek Niyazymbetov,KAZ,male,1.80,boxing,0,1,0
Adilson da Silva,BRA,male,1.70,golf,0,0,0
Aditi Ashok,IND,female,1.73,golf,0,0,0
Adlan Abdurashidov,RUS,male,1.72,boxing,0,0,0
Adnan Maric,SWE,male,1.83,football,0,0,0
Adrian Andres Puentes Perez,CUB,male,1.71,archery,0,0,0
Adrian Baches,BRA,male,1.84,aquatics,0,0,0
Adrian Blocki,POL,male,1.74,athletics,0,0,0
Adrian Chacon,CUB,male,1.87,athletics,0,0,0
Adrian Crisan,ROU,male,1.86,table tennis,0,0,0
Adrian Dziolko,POL,male,1.89,badminton,0,0,0
Adrian Eduardo Goide Arredondo,CUB,male,1.91,volleyball,0,0,0
Adrian Edward Zielinski,POL,male,1.70,weightlifting,0,0,0
Adrian Gavira Collado,ESP,male,1.93,volleyball,0,0,0
Adrian Gomboc,SLO,male,1.70,judo,0,0,0
Adrian Griffith,BAH,male,1.78,athletics,0,0,0
Adrian Ignacio Carambula Raurich,ITA,male,1.82,volleyball,0,0,0
Adrian Juhasz,HUN,male,1.88,rowing,0,0,0
Adrian Oquendo,CUB,male,1.89,rowing,0,0,0
Adrian Portela,ARG,male,1.85,handball,0,0,0
Adriana Aparecida da Silva,BRA,female,1.66,athletics,0,0,0
Adriana Araujo,BRA,female,1.67,boxing,0,0,0
Adriana Diaz,PUR,female,1.60,table tennis,0,0,0
Adriana Martin,ESP,female,1.62,archery,0,0,0
Adriana Moises,BRA,female,1.70,basketball,0,0,0
Adrien Bart,FRA,male,1.85,canoe,0,0,0
Adrien Dipanda,FRA,male,2.02,handball,0,1,0
Adrien Niyonshuti,RWA,male,1.65,cycling,0,0,0
Adrienne Martelli,USA,female,1.86,rowing,0,0,0
Adzo Rebecca Kpossi,TOG,female,1.58,aquatics,0,0,0
Ae-Ri Noort,NED,female,1.60,rowing,0,0,0
Afa Ismail,MDV,female,,athletics,0,0,0
Afaf Elhodhod,EGY,female,1.63,shooting,0,0,0
Afef Ben Ismail,TUN,female,1.73,canoe,0,0,0
Africa Zamorano Sanz,ESP,female,1.70,aquatics,0,0,0
Afrodite Zegers,NED,female,1.61,sailing,0,0,0
Agata Forkasiewicz,POL,female,1.68,athletics,0,0,0
Agatha Bednarczuk,BRA,female,1.82,volleyball,0,1,0
Ageze Guadie,ISR,male,1.75,athletics,0,0,0
Aglaia Pezzato,ITA,female,1.75,aquatics,0,0,0
Agnes Osazuwa,NGR,female,1.62,athletics,0,0,0
Agnes Raharolahy,FRA,female,1.67,athletics,0,0,0
Agnese Pastare,LAT,female,1.79,athletics,0,0,0
Agnete Kirk Thinggaard,DEN,female,1.72,equestrian,0,0,0
Agnieszka Dygacz,POL,female,1.60,athletics,0,0,0
Agnieszka Jadwiga Wieszczek-Kordus,POL,female,1.75,wrestling,0,0,0
Agnieszka Jerzyk,POL,female,1.70,triathlon,0,0,0
Agnieszka Kobus,POL,female,1.77,rowing,0,0,1
Agnieszka Nagay,POL,female,1.69,shooting,0,0,0
Agnieszka Radwanska,POL,female,1.73,tennis,0,0,0
Agnieszka Skrzypulec,POL,female,1.66,sailing,0,0,0
Agnieszka Szwarnog,POL,female,1.65,athletics,0,0,0
Agustin Mazzilli,ARG,male,1.73,hockey,1,0,0
Agustin Vidal,ARG,male,1.94,handball,0,0,0
Agustina Albertarrio,ARG,female,1.65,hockey,0,0,0
Agustina Habif,ARG,female,1.65,hockey,0,0,0
Ahmad Abughaush,JOR,male,1.78,taekwondo,1,0,0
Ahmad Alafasi,IOA,male,,shooting,0,0,0
Ahmad Amsyar Azman,MAS,male,1.62,aquatics,0,0,0
Ahmad Hazer,LIB,male,1.88,athletics,0,0,0
Ahmed Abdelaal,EGY,male,1.88,volleyball,0,0,0
Ahmed Abdelhay,EGY,male,1.97,volleyball,0,0,0
Ahmed Abelrahman,EGY,male,1.65,judo,0,0,0
Ahmed Afifi,EGY,male,1.94,volleyball,0,0,0
Ahmed Akram,EGY,male,1.88,aquatics,0,0,0
Ahmed Ali,SUD,male,1.73,athletics,0,0,0
Ahmed Attellesey,LBA,male,,aquatics,0,0,0
Ahmed Bader Magour,QAT,male,1.90,athletics,0,0,0
Ahmed Darwish,EGY,male,1.72,shooting,0,0,0
Ahmed El Kotb,EGY,male,1.97,volleyball,0,0,0
Ahmed El-Nemr,EGY,male,1.83,archery,0,0,0
Ahmed Elahmar,EGY,male,1.81,handball,0,0,0
Ahmed Gebrel,PLE,male,,aquatics,0,0,0
Ahmed Goumar,NIG,male,1.80,judo,0,0,0
Ahmed Ibrahim,IRQ,male,1.84,football,0,0,0
Ahmed Kamar,EGY,male,1.75,shooting,0,0,0
Ahmed Mathlouthi,TUN,male,1.90,aquatics,0,0,0
Ahmed Mohamed,EGY,male,1.70,shooting,0,0,0
Ahmed Mohamed,EGY,male,1.85,weightlifting,0,0,0
Ahmed Mohamed Ibrahim Saad,EGY,male,1.65,wrestling,0,0,0
Ahmed Ragab,EGY,male,1.74,sailing,0,0,0
Ahmed Saad,EGY,male,1.60,weightlifting,0,0,0
Ahmed Shaban,EGY,male,1.90,shooting,0,0,0
Ahmet Li,TUR,male,1.73,table tennis,0,0,0
Ahmet Orken,TUR,male,1.77,cycling,0,0,0
Ahreum Na,KOR,female,1.63,cycling,0,0,0
Ahymara Espinoza,VEN,female,1.80,athletics,0,0,0
Ai Fukuhara,JPN,female,1.56,table tennis,0,0,1
Ai Kondo Yoshida,JPN,female,1.61,sailing,0,0,0
Ai Ueda,JPN,female,1.55,triathlon,0,0,0
Ai Wen Yu,TPE,female,1.57,shooting,0,0,0
Aiaal Lazarev,KGZ,male,1.95,wrestling,0,0,0
Aichen Wang,CHN,male,1.85,sailing,0,0,0
Aida Fall,SEN,female,1.93,basketball,0,0,0
Aida Mohamed,HUN,female,1.62,fencing,0,0,0
Aida Roman,MEX,female,1.69,archery,0,0,0
Aida Shanaeva,RUS,female,1.73,fencing,0,0,0
Aidan Roach,AUS,male,1.87,aquatics,0,0,0
Aika Hakoyama,JPN,female,1.76,aquatics,0,0,1
Aikaterini Nikolaidou,GRE,female,1.80,rowing,0,0,0
Aikaterini-Maria Kontochristopoulou,GRE,female,1.68,fencing,0,0,0
Aiko Hayashi,JPN,female,1.66,aquatics,0,0,1
Aiko Sugihara,JPN,female,1.46,gymnastics,0,0,0
Aileen Reid,IRL,female,1.69,triathlon,0,0,0
Ailen Valente,ARG,female,1.67,gymnastics,0,0,0
Ailly Luciano,NED,female,1.71,handball,0,0,0
Ailun Guo,CHN,male,1.92,basketball,0,0,0
Aimee Fisher,NZL,female,1.83,canoe,0,0,0
Aimee Willmott,GBR,female,1.71,aquatics,0,0,0
Aina Cid I Centelles,ESP,female,1.70,rowing,0,0,0
Ainhoa Hernandez,ESP,female,1.80,handball,0,0,0
Ainhoa Murua,ESP,female,1.60,triathlon,0,0,0
Ainur Yesbergenova,KAZ,female,1.64,taekwondo,0,0,0
Airi Hatakeyama,JPN,female,1.71,gymnastics,0,0,0
Airine Palsyte,LTU,female,1.87,athletics,0,0,0
Aisen Chen,CHN,male,1.68,aquatics,2,0,0
Aisha Praught,JAM,female,1.62,athletics,0,0,0
Aislin Jones,AUS,female,1.57,shooting,0,0,0
Aisuluu Tynybekova,KGZ,female,1.70,wrestling,0,0,0
Aitor Martinez Rodriguez,ESP,male,1.83,aquatics,0,0,0
Aivi Luik,AUS,female,1.63,football,0,0,0
Ajee Wilson,USA,female,1.73,athletics,0,0,0
Ajla del Ponte,SUI,female,1.68,athletics,0,0,0
Ajna Kesely,HUN,female,1.65,aquatics,0,0,0
Akalani Baravilala,USA,female,1.68,rugby sevens,0,0,0
Akane Kuroki,JPN,female,1.65,equestrian,0,0,0
Akane Shibata,JPN,female,1.53,hockey,0,0,0
Akane Yamaguchi,JPN,female,1.56,badminton,0,0,0
Akani Simbine,RSA,male,1.76,athletics,0,0,0
Akashdeep Singh,IND,male,1.78,hockey,0,0,0
Akeem Haynes,CAN,male,1.68,athletics,0,0,1
Akela Jones,BAR,female,1.86,athletics,0,0,0
Aki Mitsuhashi,JPN,female,1.66,hockey,0,0,0
Aki Yazawa,JPN,female,1.56,canoe,0,0,0
Akihiko Nakamura,JPN,male,1.80,athletics,0,0,0
Akiko Sato,JPN,female,1.62,shooting,0,0,0
Akira Ioane,NZL,male,1.94,rugby sevens,0,0,0
Akira Yanase,JPN,male,1.91,aquatics,0,0,0
Akossiwa Claire Ayivon,TOG,female,,rowing,0,0,0
Akua Obeng-Akrofi,GHA,female,,athletics,0,0,0
Alaa Ali,IRQ,male,1.78,football,0,0,0
Alaaeldin Abouelkassem,EGY,male,1.88,fencing,0,0,0
Alade Aminu,NGR,male,2.10,basketball,0,0,0
Alain Sign,GBR,male,1.81,sailing,0,0,0
Alan Campbell,GBR,male,1.91,rowing,0,0,0
Alan Hatherly,RSA,male,1.78,cycling,0,0,0
Alan Sinclair,GBR,male,1.92,rowing,0,0,0
Alan Sothern,IRL,male,1.78,hockey,0,0,0
Alana Barber,NZL,female,1.63,athletics,0,0,0
Alana Boyd,AUS,female,1.71,athletics,0,0,0
Alanna Kennedy,AUS,female,1.76,football,0,0,0
Alastair Brogdon,GBR,male,1.83,hockey,0,0,0
Alba Torrens,ESP,female,1.91,basketball,0,1,0
Albachir Mouctar,NIG,male,1.78,aquatics,0,0,0
Albane Valenzuela,SUI,female,1.74,golf,0,0,0
Albert Espanol Lifante,ESP,male,1.89,aquatics,0,0,0
Albert Gaun,RUS,male,1.85,taekwondo,0,0,0
Albert Hermoso Farras,ESP,male,1.68,equestrian,0,0,0
Albert Kibichii Rop,BRN,male,1.77,athletics,0,0,0
Albert Puig Garrich,ESP,male,1.84,aquatics,0,0,0
Albert Ramon Ramirez,VEN,male,1.82,boxing,0,0,0
Albert Ramos-Vinolas,ESP,male,1.88,tennis,0,0,0
Albert Saritov,ROU,male,1.88,wrestling,0,0,1
Albert Selimov,AZE,male,1.71,boxing,0,0,0
Albert Subirats,VEN,male,1.90,aquatics,0,0,0
Alberth Bravo,VEN,male,1.99,athletics,0,0,0
Alberth Elis,HON,male,1.84,football,0,0,0
Albertina Cruz Kassoma,ANG,female,1.92,handball,0,0,0
Alberto Alvarez,MEX,male,1.91,athletics,0,0,0
Alberto Ezequiel Melian,ARG,male,1.70,boxing,0,0,0
Alberto Fernandez,ESP,male,1.80,shooting,0,0,0
Alberto Ignacio Palmetta,ARG,male,1.75,boxing,0,0,0
Alberto Munarriz Egana,ESP,male,1.98,aquatics,0,0,0
Alberto Ricchetti,ITA,male,1.86,canoe,0,0,0
Albin Lagergren,SWE,male,1.86,handball,0,0,0
Albina Shakirova,RUS,female,1.65,shooting,0,0,0
Aldemir da Silva Junior,BRA,male,1.93,athletics,0,0,0
Aldo Montano,ITA,male,1.84,fencing,0,0,0
Alec Potts,AUS,male,1.85,archery,0,0,1
Aleixo-Platini Menga,GER,male,1.82,athletics,0,0,0
Alejandra Betancur,COL,female,1.60,rugby sevens,0,0,0
Alejandra Garza Garza,MEX,female,1.65,weightlifting,0,0,0
Alejandra Jhonay Benitez Romero,VEN,female,1.69,fencing,0,0,0
Alejandra Llaneza,MEX,female,1.58,golf,0,0,0
Alejandra Orozco,MEX,female,1.57,aquatics,0,0,0
Alejandra Ortega,MEX,female,1.65,athletics,0,0,0
Alejandra Quereda,ESP,female,1.75,gymnastics,0,1,0
Alejandra Teran,MEX,female,1.76,fencing,0,0,0
Alejandra Valencia,MEX,female,1.75,archery,0,0,0
Alejandra Zavala Vazquez,MEX,female,1.65,shooting,0,0,0
Alejandro Enrique Valdes Tobier,CUB,male,1.65,wrestling,0,0,0
Alejandro Foglia Costa,URU,male,1.90,sailing,0,0,0
Alejandro Valverde Belmonte,ESP,male,1.77,cycling,0,0,0
Aleksandar Aleksandrov,AZE,male,1.89,rowing,0,0,0
Aleksandar IVOVIC,MNE,male,1.97,aquatics,0,0,0
Aleksandar Karakasevic,SRB,male,1.78,table tennis,0,0,0
Aleksandar Kukolj,SRB,male,1.94,judo,0,0,0
Aleksandar Nikolov,BUL,male,1.85,aquatics,0,0,0
Aleksandar RADOVIC,MNE,male,1.91,aquatics,0,0,0
Aleksandr Krasnykh,RUS,male,1.88,aquatics,0,0,0
Aleksandr Lipatov,RUS,male,1.84,canoe,0,0,0
Aleksandr Markov,RUS,male,1.79,equestrian,0,0,0
Aleksandr Popkov,RUS,male,1.85,aquatics,0,0,0
Aleksandr Sadovnikov,RUS,male,1.93,aquatics,0,0,0
Aleksandra Cotti,ITA,female,1.67,aquatics,0,1,0
Aleksandra Crvendakic,SRB,female,1.87,basketball,0,0,1
Aleksandra Jarmolinska,POL,female,1.60,shooting,0,0,0
Aleksandra Krunic,SRB,female,1.63,tennis,0,0,0
Aleksandra Patskevich,RUS,female,1.69,aquatics,1,0,0
Aleksandra Romanova,KAZ,female,1.68,athletics,0,0,0
Aleksandra Socha,POL,female,1.74,fencing,0,0,0
Aleksandra Urbanczyk,POL,female,1.72,aquatics,0,0,0
Aleksandrs Samoilovs,LAT,male,1.96,volleyball,0,0,0
Aleksei Brianskii,RUS,male,1.92,aquatics,0,0,0
Aleksei Kurbatov,RUS,male,,cycling,0,0,0
Aleksejs Rumjancevs,LAT,male,1.85,canoe,0,0,0
Aleksejs Saramotins,LAT,male,1.85,cycling,0,0,0
Aleksey Mochalov,UZB,male,1.86,canoe,0,0,0
Aleksi Ojala,FIN,male,1.80,athletics,0,0,0
Alemu Bekele,BRN,male,1.62,athletics,0,0,0
Alen Zasieiev,UKR,male,1.85,wrestling,0,0,0
Alena Abramchuk,BLR,female,1.82,athletics,0,0,0
Alena Amialiusik,BLR,female,1.69,cycling,0,0,0
Alena Furman,BLR,female,1.79,rowing,0,0,0
Alena Sharp,CAN,female,1.68,golf,0,0,0
Alena Sobaleva,BLR,female,1.78,athletics,0,0,0
Alesha Widdall,USA,female,1.73,hockey,0,0,0
Alessandra Aguilar,ESP,female,1.65,athletics,0,0,0
Alessandra Patelli,ITA,female,1.80,rowing,0,0,0
Alessandra Perilli,SMR,female,1.69,shooting,0,0,0
Alessandro De Marchi,ITA,male,1.81,cycling,0,0,0
Alessandro Fabian,ITA,male,1.86,triathlon,0,0,0
Alessandro Nora,ITA,male,1.91,aquatics,0,0,1
Alessandro Velotto,ITA,male,1.86,aquatics,0,0,1
Alessia Gennari,ITA,female,1.84,volleyball,0,0,0
Alessia Maurelli,ITA,female,1.68,gymnastics,0,0,0
Alessia Orro,ITA,female,1.80,volleyball,0,0,0
Alessia Polieri,ITA,female,1.63,aquatics,0,0,0
Alessia Trost,ITA,female,1.88,athletics,0,0,0
Aletta Jorritsma,NED,female,1.86,rowing,0,0,0
Alev Kelter,USA,female,1.68,rugby sevens,0,0,0
Alex Abrines,ESP,male,1.98,basketball,0,0,1
Alex Amankwah,GHA,male,,athletics,0,0,0
Alex Beddoes,COK,male,1.81,athletics,0,0,0
Alex Bowen,USA,male,1.96,aquatics,0,0,0
Alex Casasayas,ESP,male,1.83,hockey,0,0,0
Alex Cejka,GER,male,1.68,golf,0,0,0
Alex Garcia,BRA,male,1.92,basketball,0,0,0
Alex Garcia Mendoza,CUB,male,1.86,judo,0,0,0
Alex Gregory,GBR,male,1.98,rowing,1,0,0
Alex Hua Tian,CHN,male,1.90,equestrian,0,0,0
Alex Kennedy,NZL,male,1.96,rowing,0,0,0
Alex Maloney,NZL,female,1.58,sailing,0,1,0
Alex Morgan,USA,female,1.70,football,0,0,0
Alex Obert,USA,male,1.96,aquatics,0,0,0
Alex Ranghieri,ITA,male,2.00,volleyball,0,0,0
Alex Roelse,USA,male,2.04,aquatics,0,0,0
Alex Rose,SAM,male,,athletics,0,0,0
Alex Sobers,BAR,male,1.88,aquatics,0,0,0
Alex William Pombo Silva,BRA,male,1.74,judo,0,0,0
Alex Wright,IRL,male,1.75,athletics,0,0,0
Alex di Giorgio,ITA,male,1.85,aquatics,0,0,0
Alexa Moreno,MEX,female,1.47,gymnastics,0,0,0
Alexander Belonogoff,AUS,male,1.87,rowing,0,1,0
Alexander Brouwer,NED,male,1.98,volleyball,0,0,1
Alexander Bryukhankov,RUS,male,1.84,triathlon,0,0,0
Alexander Bury,BLR,male,1.84,tennis,0,0,0
Alexander Choupenitch,CZE,male,1.96,fencing,0,0,0
Alexander Edmondson,AUS,male,1.84,cycling,0,1,0
Alexander Fransson,SWE,male,1.80,football,0,0,0
Alexander Gehbauer,AUT,male,1.85,cycling,0,0,0
Alexander Hartmann,AUS,male,1.98,athletics,0,0,0
Alexander Hendrickx,BEL,male,1.85,hockey,0,0,0
Alexander Hill,AUS,male,1.93,rowing,0,1,0
Alexander Horst,AUT,male,1.86,volleyball,0,0,0
Alexander Huber,AUT,male,1.79,volleyball,0,0,0
Alexander John,GER,male,1.85,athletics,0,0,0
Alexander Karwoski,USA,male,1.94,rowing,0,0,0
Alexander Kosenkow,GER,male,1.78,athletics,0,0,0
Alexander Leksell,SWE,male,1.76,football,0,0,0
Alexander Lerionka Sampao,KEN,male,,athletics,0,0,0
Alexander Lesun,RUS,male,1.85,modern pentathlon,1,0,0
Alexander Lloyd,AUS,male,1.89,rowing,0,0,0
Alexander Massialas,USA,male,1.88,fencing,0,1,1
Alexander Milosevic,SWE,male,1.92,football,0,0,0
Alexander Molerio Quintana,CUB,male,1.69,shooting,0,0,0
Alexander Naddour,USA,male,1.71,gymnastics,0,0,1
Alexander Peya,AUT,male,1.82,tennis,0,0,0
Alexander Russo,BRA,male,1.73,athletics,0,0,0
Alexander Schmirl,AUT,male,1.76,shooting,0,0,0
Alexander Shatilov,ISR,male,1.83,gymnastics,0,0,0
Alexander Shibaev,RUS,male,1.92,table tennis,0,0,0
Alexander Sigurbjornsson,ESP,male,1.80,rowing,0,0,0
Alexander Sukhorukov,RUS,male,1.96,aquatics,0,0,0
Alexander Volkov,RUS,male,2.10,volleyball,0,0,0
Alexandr Spac,MDA,male,1.64,weightlifting,0,0,0
Alexandr Yemelyanov,KAZ,male,1.84,canoe,0,0,0
Alexandr Zaichikov,KAZ,male,1.80,weightlifting,0,0,1
Alexandra Burghardt,GER,female,1.81,athletics,0,0,0
Alexandra Danson,GBR,female,1.67,hockey,1,0,0
Alexandra Hagan,AUS,female,1.82,rowing,0,0,0
Alexandra Keresztesi,ARG,female,1.83,canoe,0,0,0
Alexandra Lacrabere,FRA,female,1.77,handball,0,1,0
Alexandra Longova,SVK,female,1.73,archery,0,0,0
Alexandra Martinez,BRA,female,1.77,handball,0,0,0
Alexandra Mirca,MDA,female,1.68,archery,0,0,0
Alexandra Nemich,KAZ,female,1.68,aquatics,0,0,0
Alexandra Oquendo,PUR,female,1.89,volleyball,0,0,0
Alexandra Popp,GER,female,1.74,football,1,0,0
Alexandra Privalova,BLR,female,1.78,table tennis,0,0,0
Alexandra Raisman,USA,female,1.58,gymnastics,1,2,0
Alexandra Razarenova,RUS,female,1.68,triathlon,0,0,0
Alexandra Tavernier,FRA,female,1.70,athletics,0,0,0
Alexandra Touretski,SUI,female,1.70,aquatics,0,0,0
Alexandra Wenk,GER,female,1.80,aquatics,0,0,0
Alexandra Wester,GER,female,1.80,athletics,0,0,0
Alexandre Ayache,FRA,male,1.80,equestrian,0,0,0
Alexandre Bouzaid,SEN,male,1.68,fencing,0,0,0
Alexandre Camarasa,FRA,male,1.93,aquatics,0,0,0
Alexandre Camargo,BRA,male,1.77,fencing,0,0,0
Alexandre Haldemann,SUI,male,1.86,aquatics,0,0,0
Alexandre Iddir,FRA,male,1.84,judo,0,0,0
Alexandre de Paeuw,BEL,male,1.78,hockey,0,0,0
Alexandres Gounas,GRE,male,1.79,aquatics,0,0,0
Alexandrina Cabral,ESP,female,1.75,handball,0,0,0
Alexandro Pozzer,BRA,male,1.92,handball,0,0,0
Alexandros Papamichail,GRE,male,1.78,athletics,0,0,0
Alexei Klimov,RUS,male,1.82,shooting,0,0,0
Alexei Sancov,MDA,male,1.88,aquatics,0,0,0
Alexej Prochorow,GER,male,1.91,weightlifting,0,0,0
Alexey Alipov,RUS,male,1.74,shooting,0,0,0
Alexey Cheremisinov,RUS,male,1.83,fencing,1,0,0
Alexey Denisenko,RUS,male,1.85,taekwondo,0,1,0
Alexey Dergunov,KAZ,male,1.87,canoe,0,0,0
