name,nationality,sex,height,sport,gold,silver,bronze
Christopher Juul Jensen,DEN,male,1.85,cycling,0,0,0
Christopher Linke,GER,male,1.91,athletics,0,0,0
Christopher Morgan,AUS,male,1.91,rowing,0,0,0
Christopher Patrick Reid,RSA,male,1.98,aquatics,0,0,0
Christopher Ruhr,GER,male,1.80,hockey,0,0,1
Christopher Valdez,DOM,male,1.70,athletics,0,0,0
Christopher Wesley,GER,male,1.92,hockey,0,0,1
Christos Afroudakis,GRE,male,1.88,aquatics,0,0,0
Christos Katrantzis,GRE,male,1.88,aquatics,0,0,0
Christos Volikakis,GRE,male,1.70,cycling,0,0,0
Chu-En Lai,TPE,male,1.68,boxing,0,0,0
Chuluunbat Jargalsaikhan,MGL,male,1.84,wrestling,0,0,0
Chun Hei Reginald Lee,HKG,male,1.70,badminton,0,0,0
Chun Hing Chan,HKG,male,1.70,cycling,0,0,0
Chun Leung Michael Cheng,HKG,male,1.82,sailing,0,0,0
Chun Ting Wong,HKG,male,1.70,table tennis,0,0,0
Chun Wing Leung,HKG,male,1.76,cycling,0,0,0
Chun-Heng Wei,TPE,male,1.80,archery,0,0,0
Chun-Hsien Hsiang,TPE,male,1.86,athletics,0,0,0
Chunsong Shang,CHN,female,1.43,gymnastics,0,0,1
Chunxin Wang,CHN,male,1.80,rowing,0,0,0
Chunyu Wang,CHN,female,1.75,athletics,0,0,0
Churandy Martina,NED,male,1.80,athletics,0,0,0
Ciara Everard,IRL,female,1.69,athletics,0,0,0
Ciara Horne,GBR,female,1.79,cycling,0,0,0
Ciara Mageean,IRL,female,1.70,athletics,0,0,0
Cierra Runge,USA,female,1.94,aquatics,1,0,0
Cindy Billaud,FRA,female,1.67,athletics,0,0,0
Cindy Ofili,GBR,female,1.78,athletics,0,0,0
Cindy Roleder,GER,female,1.78,athletics,0,0,0
Ciril Grossklaus,SUI,male,1.85,judo,0,0,0
Cisiane Lopes,BRA,female,1.59,athletics,0,0,0
Claire Allan,GBR,female,1.70,rugby sevens,0,0,0
Claire Lambe,IRL,female,1.78,rowing,0,0,0
Claire Lavogez,FRA,female,1.73,football,0,0,0
Claire Michel,BEL,female,1.68,triathlon,0,0,0
Clara Espar Llaquet,ESP,female,1.78,aquatics,0,0,0
Clare Abbott,IRL,female,1.67,equestrian,0,0,0
Clare Polkinghorne,AUS,female,1.73,football,0,0,0
Clarence Munyai,RSA,male,1.70,athletics,0,0,0
Claressa Maria Shields,USA,female,1.76,boxing,1,0,0
Clarisa Sagardia,ARG,female,1.74,volleyball,0,0,0
Clarissa Santos,BRA,female,1.83,basketball,0,0,0
Clarisse Agbegnenou,FRA,female,1.64,judo,0,1,0
Clarisse le Bihan,FRA,female,1.72,football,0,0,0
Clark Montgomery,USA,male,1.83,equestrian,0,0,0
Clark Smith,USA,male,2.06,aquatics,1,0,0
Clarke Johnstone,NZL,male,1.94,equestrian,0,0,0
Claudette Mukasakindi,RWA,female,1.60,athletics,0,0,0
Claudia Belderbos,NED,female,1.75,rowing,0,0,0
Claudia Bobocea,ROU,female,1.76,athletics,0,0,0
Claudia Cesarini,ITA,female,1.77,modern pentathlon,0,0,0
Claudia Fragapane,GBR,female,1.37,gymnastics,0,0,0
Claudia Jaqueline Teles,BRA,female,1.66,rugby sevens,0,0,0
Claudia Lau,HKG,female,1.60,aquatics,0,0,0
Claudia Lichtenberg,GER,female,1.70,cycling,0,0,0
Claudia Mandia,ITA,female,1.70,archery,0,0,0
Claudia Rath,GER,female,1.75,athletics,0,0,0
Claudia Rivas,MEX,female,1.71,triathlon,0,0,0
Claudia Stef,ROU,female,1.70,athletics,0,0,0
Claudio Castilla Ruiz,ESP,male,1.73,equestrian,0,0,0
Claudio Villanueva,ECU,male,1.75,athletics,0,0,0
Clayton Murphy,USA,male,1.81,athletics,0,0,1
Clelia Reuse-Rard,SUI,female,1.70,athletics,0,0,0
Clemens Doppler,AUT,male,1.99,volleyball,0,0,0
Clemens Rapp,GER,male,1.93,aquatics,0,0,0
Clement Mignon,FRA,male,1.87,aquatics,0,1,0
Clemente Russo,ITA,male,1.81,boxing,0,0,0
Clemilda Fernandes Silva,BRA,female,1.63,cycling,0,0,0
Cleopatra Borel,TTO,female,1.72,athletics,0,0,0
Clive Pullen,JAM,male,1.83,athletics,0,0,0
Cloe Hache,FRA,female,1.71,aquatics,0,0,0
Coco Vandeweghe,USA,female,1.86,tennis,0,0,0
Cody Miller,USA,male,1.81,aquatics,1,0,1
Coen de Koning,NED,male,1.83,sailing,0,0,0
Colin Cheng,SIN,male,1.75,sailing,0,0,0
Colin Fleming,GBR,male,1.88,tennis,0,0,0
Colin Oates,GBR,male,1.70,judo,0,0,0
Colleen Furgeson,MHL,female,1.76,aquatics,0,0,0
Colleen Loach,CAN,female,1.79,equestrian,0,0,0
Colleen Quigley,USA,female,1.76,athletics,0,0,0
Collins Injera,KEN,male,1.82,rugby sevens,0,0,0
Colton Brown,USA,male,1.83,judo,0,0,0
Con Foley,AUS,male,1.88,rugby sevens,0,0,0
Concepcion Montaner,ESP,female,1.70,athletics,0,0,0
Cong Zhang,CHN,female,1.76,aquatics,0,0,0
Conlin McCABE,CAN,male,2.05,rowing,0,0,0
Connor Fields,USA,male,1.83,cycling,1,0,0
Connor Jaeger,USA,male,1.86,aquatics,0,1,0
Conny Wassmuth,GER,female,1.67,canoe,0,0,0
Conor Dwyer,USA,male,1.96,aquatics,1,0,1
Conor Harte,IRL,male,1.96,hockey,0,0,0
Conor McCullough,USA,male,1.96,athletics,0,0,0
Conseslus Kipruto,KEN,male,1.67,athletics,1,0,0
Constantijn Jonker,NED,male,1.82,hockey,0,0,0
Constantin Adam,ROU,male,2.02,rowing,0,0,0
Constantin Blaha,AUT,male,1.78,aquatics,0,0,0
Constantine Louloudis,GBR,male,1.90,rowing,1,0,0
Coralie Balmy,FRA,female,1.80,aquatics,0,0,0
Corben Sharrah,USA,male,1.83,cycling,0,0,0
Corey Cogdell,USA,female,1.73,shooting,0,0,1
Corey Main,NZL,male,1.92,aquatics,0,0,0
Corey Ollivierre,GRN,male,,aquatics,0,0,0
Corina Caprioriu,ROU,female,1.61,judo,0,0,0
Corinna Kuhnle,AUT,female,1.74,canoe,0,0,0
Costanza Ferro,ITA,female,1.69,aquatics,0,0,0
Courtney Frerichs,USA,female,1.71,athletics,0,0,0
Courtney Hurley,USA,female,1.73,fencing,0,0,0
Courtney Mathewson,USA,female,1.71,aquatics,1,0,0
Courtney McGregor,NZL,female,1.59,gymnastics,0,0,0
Courtney Okolo,USA,female,1.73,athletics,1,0,0
Courtney Thompson,USA,female,1.70,volleyball,0,0,1
Craig Benson,GBR,male,1.83,aquatics,0,0,0
Craig Miller,NZL,male,1.73,wrestling,0,0,0
Crisanto Grajales,MEX,male,1.66,triathlon,0,0,0
Crispin Duenas,CAN,male,1.70,archery,0,0,0
Crista Cullen,GBR,female,1.82,hockey,1,0,0
Cristhian Pacheco,PER,male,1.62,athletics,0,0,0
Cristi-Ilie Pirghie,ROU,male,2.02,rowing,0,0,0
Cristian Bonilla,COL,male,1.88,football,0,0,0
Cristian Borja,COL,male,1.79,football,0,0,0
Cristian Espinoza,ARG,male,1.67,football,0,0,0
Cristian Pavon,ARG,male,1.72,football,0,0,0
Cristian Poglajen,ARG,male,1.95,volleyball,0,0,0
Cristian Quintero,VEN,male,1.95,aquatics,0,0,0
Cristian Toro,ESP,male,1.88,canoe,1,0,0
Cristiane,BRA,female,1.76,football,0,0,0
Cristiane Silva,BRA,female,1.62,athletics,0,0,0
Cristiano Felicio,BRA,male,2.08,basketball,0,0,0
Cristina Bujin,ROU,female,1.72,athletics,0,0,0
Cristina Chirichella,ITA,female,1.95,volleyball,0,0,0
Cristina Direito Branco,ANG,female,1.72,handball,0,0,0
Cristina Guinea,ESP,female,1.66,hockey,0,0,0
Cristina Neagu,ROU,female,1.80,handball,0,0,0
Cristina Sheehan,AUS,female,1.63,aquatics,0,0,0
Cristobal Grez Ahrens,CHI,male,1.79,sailing,0,0,0
Cristopher Joel Pavon Funes,HON,male,1.73,weightlifting,0,0,0
Cristy Nurse,CAN,female,1.82,rowing,0,0,0
Crystal Brittany Weekes,PUR,female,1.78,taekwondo,0,0,0
Crystal Dunn,USA,female,1.57,football,0,0,0
Crystal Emmanuel,CAN,female,1.70,athletics,0,0,0
Cuthbert Nyasango,ZIM,male,1.63,athletics,0,0,0
Cy Thompson,ISV,male,,sailing,0,0,0
Cynthia Bolingo,BEL,female,1.65,athletics,0,0,0
Cynthia Meyer,CAN,female,1.63,shooting,0,0,0
Cynthia Vanessa Vescan,FRA,female,1.70,wrestling,0,0,0
Cyril Graff,FRA,male,1.70,shooting,0,0,0
Cyril Tommasone,FRA,male,1.71,gymnastics,0,0,0
Cyrille Carre,FRA,male,1.84,canoe,0,0,0
Cyrille Maret,FRA,male,1.89,judo,0,0,1
Cyrille Thiery,SUI,male,1.79,cycling,0,0,0
Cyrus Hostetler,USA,male,1.88,athletics,0,0,0
Céline van Gerner,NED,female,1.58,gymnastics,0,0,0
D J Forbes,NZL,male,1.89,rugby sevens,0,0,0
Daehoon Lee,KOR,male,1.83,taekwondo,0,0,1
Daemyung Lee,KOR,male,1.82,shooting,0,0,0
Dafne Schippers,NED,female,1.79,athletics,0,1,0
Dagmara Wozniak,USA,female,1.73,fencing,0,0,1
Dagnis Iljins,LAT,male,1.78,canoe,0,0,0
Daichi Sawano,JPN,male,1.83,athletics,0,0,0
Daichi Sugimoto,JPN,male,1.86,football,0,0,0
Daiene Marcal,BRA,female,1.59,aquatics,0,0,0
Daigo Hasegawa,JPN,male,1.73,athletics,0,0,0
Daigoro Timoncini,ITA,male,1.80,wrestling,0,0,0
Dailin Belmonte,CUB,female,1.58,athletics,0,0,0
Daina Levy,JAM,female,1.65,athletics,0,0,0
Dainis Upelnieks,LAT,male,1.93,shooting,0,0,0
Daisuke Fukushima,JPN,male,1.78,equestrian,0,0,0
Daisuke Matsunaga,JPN,male,1.74,athletics,0,0,0
Daisuke Narimatsu,JPN,male,1.72,boxing,0,0,0
Daisurami Bonne,CUB,female,1.71,athletics,0,0,0
Daisy Cleverley,NZL,female,1.70,football,0,0,0
Daisy Kaitano,ZIM,female,1.71,football,0,0,0
Daiva Tuslaite,LTU,female,1.72,cycling,0,0,0
Daiya Seto,JPN,male,1.74,aquatics,0,0,1
Dajana Butulija,SRB,female,1.75,basketball,0,0,1
Dalal Mesfer Al Harith,QAT,female,1.60,athletics,0,0,0
Dalia Torrez,NCA,female,1.74,aquatics,0,0,0
Dalila Abdulkadir,BRN,female,1.56,athletics,0,0,0
Dalilah Muhammad,USA,female,1.73,athletics,1,0,0
Dalma Ruzicic Benedek,SRB,female,1.65,canoe,0,0,0
Dalma Sebestyen,HUN,female,1.80,aquatics,0,0,0
Daly Santana,PUR,female,1.85,volleyball,0,0,0
Damar Forbes,JAM,male,1.88,athletics,0,0,0
Damian Czykier,POL,male,1.91,athletics,0,0,0
Damian Martin,AUS,male,1.86,basketball,0,0,0
Damian Warner,CAN,male,1.85,athletics,0,0,1
Damian Wierling,GER,male,1.96,aquatics,0,0,0
Damian Zielinski,POL,male,1.85,cycling,0,0,0
Damiano Caruso,ITA,male,1.79,cycling,0,0,0
Damien Birkinhead,AUS,male,1.90,athletics,0,0,0
Damien Cler,FRA,male,1.85,rugby sevens,0,0,0
Damien Joly,FRA,male,1.89,aquatics,0,0,0
Damir Buric,CRO,male,2.05,aquatics,0,1,0
Damir Dugonjic,SLO,male,2.02,aquatics,0,0,0
Damir Dzumhur,BIH,male,1.75,tennis,0,0,0
Damir Martin,CRO,male,1.89,rowing,0,1,0
Damir Mikec,SRB,male,1.79,shooting,0,0,0
Damiris Dantas,BRA,female,1.90,basketball,0,0,0
Dan Bibby,GBR,male,1.76,rugby sevens,0,1,0
Dan Craven,NAM,male,1.83,cycling,0,0,0
Dan Froyliche,ISR,male,1.82,sailing,0,0,0
Dan Li,CHN,female,1.55,gymnastics,0,0,1
Dan Lin,CHN,male,1.77,badminton,0,0,0
Dan Norton,GBR,male,1.80,rugby sevens,0,1,0
Dan Wallace,GBR,male,1.88,aquatics,0,1,0
Dana Veldakova,SVK,female,1.79,athletics,0,0,0
Dana Vollmer,USA,female,1.86,aquatics,1,1,1
Danai Bhobho,ZIM,female,1.63,football,0,0,0
Danas Rapsys,LTU,male,1.90,aquatics,0,0,0
Dane Bird-Smith,AUS,male,1.87,athletics,0,0,1
Dane Sampson,AUS,male,1.83,shooting,0,0,0
Daneja Grandovec,SLO,female,1.75,athletics,0,0,0
Danell Leyva,USA,male,1.73,gymnastics,0,2,0
Dani Samuels,AUS,female,1.82,athletics,0,0,0
Daniah Hagul,LBA,female,,aquatics,0,0,0
Danick Snelder,NED,female,1.78,handball,0,0,0
Daniel Akpeyi,NGR,male,1.87,football,0,0,1
Daniel Allerstorfer,AUT,male,1.83,judo,0,0,0
Daniel Andujar,ESP,male,1.82,athletics,0,0,0
Daniel Asenov,BUL,male,1.63,boxing,0,0,0
Daniel Bailey,ANT,male,1.79,athletics,0,0,0
Daniel Beale,AUS,male,1.84,hockey,0,0,0
Daniel Bluman,COL,male,1.82,equestrian,0,0,0
Daniel Bowker,AUS,male,1.91,canoe,0,0,0
Daniel Brodmeier,GER,male,1.80,shooting,0,0,0
Daniel Cornelius Jansen Vandoorn,CAN,male,2.07,volleyball,0,0,0
Daniel Corral,MEX,male,1.75,gymnastics,0,0,0
Daniel Dal Bo,ARG,male,1.85,canoe,0,0,0
Daniel Deusser,GER,male,1.90,equestrian,0,0,1
Daniel Diaz,ARG,male,1.68,cycling,0,0,0
Daniel Estrada,CHI,male,1.73,athletics,0,0,0
Daniel Flores,VEN,male,1.80,sailing,0,0,0
Daniel Fox,GBR,male,1.83,hockey,0,0,0
Daniel Gomez,MEX,male,1.78,fencing,0,0,0
Daniel Goodfellow,GBR,male,1.67,aquatics,0,0,1
Daniel Gorak,POL,male,1.78,table tennis,0,0,0
Daniel Gyurta,HUN,male,1.85,aquatics,0,0,0
Daniel Habesohn,AUT,male,1.85,table tennis,0,0,0
Daniel Havel,CZE,male,1.78,canoe,0,0,1
Daniel Jasinski,GER,male,2.07,athletics,0,0,1
Daniel Jason Lewis,AUS,male,1.78,boxing,0,0,0
Daniel Jerent,FRA,male,1.89,fencing,1,0,0
Daniel Ligeti,HUN,male,1.90,wrestling,0,0,0
Daniel Lopez Pinedo,ESP,male,1.90,aquatics,0,0,0
Daniel Lowe,USA,male,1.83,shooting,0,0,0
Daniel Macovei,ROU,male,1.85,aquatics,0,0,0
Daniel Martin,IRL,male,1.76,cycling,0,0,0
Daniel McConnell,AUS,male,1.80,cycling,0,0,0
Daniel Narcisse,FRA,male,1.89,handball,0,1,0
Daniel Natea,ROU,male,2.03,judo,0,0,0
Daniel Nestor,CAN,male,1.91,tennis,0,0,0
Daniel Paul Dennis,USA,male,1.66,wrestling,0,0,0
Daniel Repacholi,AUS,male,2.02,shooting,0,0,0
Daniel Rezende Xavier,BRA,male,1.91,archery,0,0,0
Daniel Sancery,BRA,male,1.82,rugby sevens,0,0,0
Daniel Shingles,GBR,male,1.84,hockey,0,0,0
Daniel Skaaning,DEN,male,1.80,aquatics,0,0,0
Daniel Smith,AUS,male,1.90,aquatics,0,0,0
Daniel Stahl,SWE,male,2.00,athletics,0,0,0
Daniel Talbot,GBR,male,1.84,athletics,0,0,0
Daniel Teklehaimanot,ERI,male,,cycling,0,0,0
Daniel Tihomirov Aleksandrov,BUL,male,1.82,wrestling,0,0,0
Daniel Trojanowski,POL,male,1.70,rowing,0,0,0
Daniel Varga,HUN,male,2.01,aquatics,0,0,0
Daniel Vargas,MEX,male,1.97,volleyball,0,0,0
Daniel Vargas,MEX,male,1.62,athletics,0,0,0
Daniel Wiederkehr,SUI,male,1.83,rowing,0,0,0
Daniel Willcox,NZL,male,1.79,sailing,0,0,0
Daniela Campuzano Chavez Peon,MEX,female,1.73,cycling,0,0,0
Daniela Cardoso,POR,female,1.57,athletics,0,0,0
Daniela Carlan,ROU,female,1.64,athletics,0,0,0
Daniela Druncea,ROU,female,1.50,rowing,0,0,1
Daniela Ferenz,GER,female,1.71,athletics,0,0,0
Daniela Matarazzo Carraro,BRA,female,1.65,shooting,0,0,0
Daniela Monteiro Dodean,ROU,female,1.70,table tennis,0,0,0
Daniela Piedade,BRA,female,1.74,handball,0,0,0
Daniela Potapova,GER,female,1.66,gymnastics,0,0,0
Daniele Garozzo,ITA,male,1.77,fencing,1,0,0
Daniele Hypolito,BRA,female,1.47,gymnastics,0,0,0
Daniele Lupo,ITA,male,1.93,volleyball,0,1,0
Daniele Meucci,ITA,male,1.78,athletics,0,0,0
Danielle Kettlewell,AUS,female,1.75,aquatics,0,0,0
Danielle Lins,BRA,female,1.83,volleyball,0,0,0
Danielle Page,SRB,female,1.88,basketball,0,0,1
Danielle Prince,AUS,female,1.66,gymnastics,0,0,0
Danielle Suzanne Lappage,CAN,female,1.65,wrestling,0,0,0
Danielle Villars,SUI,female,1.78,aquatics,0,0,0
Danielle Waterman,GBR,female,1.65,rugby sevens,0,0,0
Daniil Pakhomov,RUS,male,1.89,aquatics,0,0,0
Danijel Furtula,MNE,male,1.93,athletics,0,0,0
Danijel Saric,QAT,male,1.95,handball,0,0,0
Danila Izotov,RUS,male,1.92,aquatics,0,0,0
Danilo Caro Guarnieri,COL,male,1.70,shooting,0,0,0
Danish Mujtaba,IND,male,1.68,hockey,0,0,0
Daniyar Ismayilov,TUR,male,1.73,weightlifting,0,1,0
Daniyar Yeleussinov,KAZ,male,1.78,boxing,1,0,0
Danka Bartekova,SVK,female,1.70,shooting,0,0,0
Danka Kovinic,MNE,female,1.70,tennis,0,0,0
Dannie Boyd,CAN,female,1.78,sailing,0,0,0
Danniel Thomas,JAM,female,1.68,athletics,0,0,0
Danny Barrett,USA,male,1.88,rugby sevens,0,0,0
Danny Chia,MAS,male,1.70,golf,0,0,0
Danny Lee,NZL,male,1.80,golf,0,0,0
Danny Pinheiro Rodrigues,FRA,male,1.61,gymnastics,0,0,0
Danny Willett,GBR,male,1.80,golf,0,0,0
Danuta Kozak,HUN,female,1.68,canoe,3,0,0
Danuta Urbanik,POL,female,1.67,athletics,0,0,0
Dapeng Wang,CHN,male,1.84,archery,0,0,0
Dara Hassanien,EGY,female,1.69,aquatics,0,0,0
Darcina Manuel,NZL,female,1.62,judo,0,0,0
Daria Chikunova,RUS,female,1.77,aquatics,0,0,0
Daria Dmitrieva,RUS,female,1.78,handball,1,0,0
Daria Gavrilova,AUS,female,1.66,tennis,0,0,0
Daria Iushko,UKR,female,1.74,aquatics,0,0,0
Daria Kasatkina,RUS,female,1.70,tennis,0,0,0
Daria Malygina,RUS,female,2.02,volleyball,0,0,0
Daria Mullakaeva,RUS,female,1.72,aquatics,0,0,0
Daria Pikulik,POL,female,1.65,cycling,0,0,0
Daria Pogorzelec,POL,female,1.72,judo,0,0,0
Daria Shmeleva,RUS,female,1.64,cycling,0,1,0
Daria Spiridonova,RUS,female,1.56,gymnastics,0,1,0
Daria Talanova,KGZ,female,1.68,aquatics,0,0,0
Daria Ustinova,RUS,female,,aquatics,0,0,0
Daria Vdovina,RUS,female,1.56,shooting,0,0,0
Darian King,BAR,male,1.72,tennis,0,0,0
Darienn Ferrer Delis,CUB,male,2.02,volleyball,0,0,0
Dariga Shakimova,KAZ,female,1.72,boxing,0,0,1
Dario Saric,CRO,male,2.07,basketball,0,0,0
Dariusz Radosz,POL,male,1.99,rowing,0,0,0
Dariya Derkach,ITA,female,1.70,athletics,0,0,0
Darko Brguljan,MNE,male,1.80,aquatics,0,0,0
Darko Cingesar,SLO,male,1.87,handball,0,0,0
Darko Planinic,CRO,male,2.11,basketball,0,0,0
Darlan Romani,BRA,male,1.87,athletics,0,0,0
Darlene,BRA,female,1.73,football,0,0,0
Darly Zoqbi,ESP,female,1.78,handball,0,0,0
Darrell Hill,USA,male,1.91,athletics,0,0,0
Darrell Wesh,HAI,male,1.83,athletics,0,0,0
Darwin Espinal,HON,male,1.78,football,0,0,0
Darya Klishina,RUS,female,1.80,athletics,0,0,0
Darya Maslova,KGZ,female,1.65,athletics,0,0,0
Darya Naumava,BLR,female,1.65,weightlifting,0,1,0
Darya Pachabut,BLR,female,1.63,weightlifting,0,0,0
Darya Semyonova,TKM,female,1.70,aquatics,0,0,0
Darya Skrypnik,BLR,female,1.62,judo,0,0,0
Darya Stepanyuk,UKR,female,1.74,aquatics,0,0,0
Daryl Homer,USA,male,1.73,fencing,0,1,0
Daryl Impey,RSA,male,1.83,cycling,0,0,0
Daryll Neita,GBR,female,1.72,athletics,0,0,1
Daryna Verkhogliad,UKR,female,1.80,rowing,0,0,0
Daryna Zevina,UKR,female,1.78,aquatics,0,0,0
Daseul Lee,KOR,female,1.59,athletics,0,0,0
Dattu Baban Bhokanal,IND,male,1.89,rowing,0,0,0
Daulet Shabanbay,KAZ,male,1.90,wrestling,0,0,0
Dave Hughes,USA,male,1.86,sailing,0,0,0
David Adley Smith Ii,PUR,male,1.92,athletics,0,0,0
David Alegre,ESP,male,1.84,hockey,0,0,0
David Ames,GBR,male,1.88,hockey,0,0,0
David Andersen,AUS,male,2.10,basketball,0,0,0
David Belyavskiy,RUS,male,1.63,gymnastics,0,1,1
David Boudia,USA,male,1.76,aquatics,0,1,1
David Brandl,AUT,male,1.88,aquatics,0,0,0
David Bustos,ESP,male,1.82,athletics,0,0,0
David Carter,CAN,male,1.75,hockey,0,0,0
David Carver,MRI,male,1.83,athletics,0,0,0
David Chapman,AUS,male,1.67,shooting,0,0,0
David Condon,GBR,male,1.80,hockey,0,0,0
David Cubillan,VEN,male,1.83,basketball,0,0,0
David Fernandes,POR,male,1.81,canoe,0,0,0
David Ferrer,ESP,male,1.75,tennis,0,0,0
David Florence,GBR,male,1.88,canoe,0,1,0
David Foldhazi,HUN,male,1.89,aquatics,0,0,0
David Goffin,BEL,male,1.80,tennis,0,0,0
David Graf,GER,male,1.91,boxing,0,0,0
David Graf,SUI,male,1.80,cycling,0,0,0
David Harte,IRL,male,1.95,hockey,0,0,0
David Hearn,CAN,male,1.85,golf,0,0,0
David Higgins,USA,male,1.76,shooting,0,0,0
David Horvath,HUN,male,1.75,aquatics,0,0,0
David Hunt,RSA,male,1.97,rowing,0,0,0
David Jessen,CZE,male,1.75,gymnastics,0,0,0
David Joao Serralheiro Rosa,POR,male,1.65,cycling,0,0,0
David Katoatau,KIR,male,1.70,weightlifting,0,0,0
David Kostelecky,CZE,male,1.90,shooting,0,0,0
David Lee,USA,male,2.03,volleyball,0,0,1
David Lekuta Rudisha,KEN,male,1.90,athletics,1,0,0
David Lingmerth,SWE,male,1.70,golf,0,0,0
David Mauricio Mier Y Teran Cuevas,MEX,male,1.72,sailing,0,0,0
David McKeon,AUS,male,1.95,aquatics,0,0,0
David McNeill,AUS,male,1.75,athletics,0,0,0
David Miklavcic,SLO,male,1.96,handball,0,0,0
David Morgan,AUS,male,1.84,aquatics,0,0,1
David Munoz Hidalgo,PAN,male,1.70,shooting,0,0,0
David Obernosterer,AUT,male,1.83,badminton,0,0,0
David Oliver Joyce,IRL,male,1.71,boxing,0,0,0
David Pasqualucci,ITA,male,1.81,archery,0,0,0
David Plummer,USA,male,1.91,aquatics,1,0,1
David Powell,AUS,male,1.75,table tennis,0,0,0
David Sanchez Lopez,ESP,male,1.66,weightlifting,0,0,0
David Smith,USA,male,2.01,volleyball,0,0,1
David Soderberg,FIN,male,1.85,athletics,0,0,0
David Storl,GER,male,1.98,athletics,0,0,0
David Svoboda,CZE,male,1.83,modern pentathlon,0,0,0
David Sylvere Patrick Boui,CAF,male,1.87,taekwondo,0,0,0
David Torrence,PER,male,1.90,athletics,0,0,0
David Valero Serrano,ESP,male,1.89,cycling,0,0,0
David Verburg,USA,male,1.73,athletics,1,0,0
David Verraszto,HUN,male,1.80,aquatics,0,0,0
David Watts,AUS,male,1.91,rowing,0,0,0
David van der Colff,BOT,male,,aquatics,0,0,0
Davide Manenti,ITA,male,1.77,athletics,0,0,0
Davide Uccellari,ITA,male,1.85,triathlon,0,0,0
Davie Selke,GER,male,1.92,football,0,1,0
Davilson dos Santos Morais,CPV,male,1.88,boxing,0,0,0
Davit Chakvetadze,RUS,male,1.74,wrestling,1,0,0
Daviti Kharazishvili,GEO,male,1.71,athletics,0,0,0
Davor Stefanek,SRB,male,1.70,wrestling,1,0,0
Dawid Konarski,POL,male,1.98,volleyball,0,0,0
Dawit Seyaum,ETH,female,1.61,athletics,0,0,0
Dawit Wolde,ETH,male,1.80,athletics,0,0,0
Dayaris Mestre Alvarez,CUB,female,1.50,judo,0,0,0
Daynara de Paula,BRA,female,1.63,aquatics,0,0,0
DeAndre Jordan,USA,male,2.11,basketball,1,0,0
DeMarcus Cousins,USA,male,2.10,basketball,1,0,0
Deajah Stevens,USA,female,,athletics,0,0,0
Dean Bombac,SLO,male,1.89,handball,0,0,0
Deanna Price,USA,female,1.73,athletics,0,0,0
Deanne Rose,CAN,female,1.63,football,0,0,1
Debashree Mazumdar,IND,female,1.64,athletics,0,0,0
Debby Stam-Pilon,NED,female,1.84,volleyball,0,0,0
Debby Susanto,INA,female,1.61,badminton,0,0,0
Debinha,BRA,female,1.57,football,0,0,0
Debora Seilhamer,PUR,female,1.66,volleyball,0,0,0
Deborah Rodriguez,URU,female,1.75,athletics,0,0,0
Deborah Tsai,AUS,female,1.62,aquatics,0,0,0
Debra Daniel,FSM,female,1.53,aquatics,0,0,0
Deep Ekka,IND,female,1.58,hockey,0,0,0
Deepika Deepika,IND,female,1.59,hockey,0,0,0
Deepika Kumari,IND,female,1.63,archery,0,0,0
Deiver Machado,COL,male,1.79,football,0,0,0
Deividas Margevicius,LTU,male,1.87,aquatics,0,0,0
Deivy Balanta,COL,male,1.84,football,0,0,0
Dejan Pajic,SRB,male,1.78,canoe,0,0,0
Dejen Gebremeskel,ETH,male,1.80,athletics,0,0,0
Delanno Williams,GBR,male,1.80,athletics,0,0,0
Delfina Merino,ARG,female,1.69,hockey,0,0,0
Delphine Lansac,FRA,female,1.69,badminton,0,0,0
Demar DeRozan,USA,male,2.01,basketball,1,0,0
Demetrius Pinder,BAH,male,1.78,athletics,0,0,0
Demian Gonzalez,ARG,male,1.92,volleyball,0,0,0
Demita Vega de Lille,MEX,female,1.72,sailing,0,0,0
Denes Varga,HUN,male,1.93,aquatics,0,0,0
Deni,INA,male,1.65,weightlifting,0,0,0
Denia Caballero,CUB,female,1.75,athletics,0,0,1
Denika Kassim,COM,female,1.57,athletics,0,0,0
Denis Abliazin,RUS,male,1.60,gymnastics,0,2,1
Denis Dmitriev,RUS,male,1.77,cycling,0,0,1
Denis Gargaud Chanut,FRA,male,1.81,canoe,1,0,0
Denis Gribanov,RUS,male,1.90,sailing,0,0,0
Denis Iartcev,RUS,male,1.76,judo,0,0,0
Denis Istomin,UZB,male,1.87,tennis,0,0,0
Denis Koulakov,RUS,male,1.74,shooting,0,0,0
Denis Kudla,USA,male,1.81,tennis,0,0,0
Denis Maksymilian Kudla,GER,male,1.84,wrestling,0,0,1
Denis Mysak,SVK,male,1.89,canoe,0,1,0
Denis Petrashov,KGZ,male,,aquatics,0,0,0
Denis Ulanov,KAZ,male,1.75,weightlifting,0,0,0
Denisa Dedu,ROU,female,1.82,handball,0,0,0
Denisa Rosolova,CZE,female,1.75,athletics,0,0,0
Denise Lim,SIN,female,1.55,sailing,0,0,0
Deniss Karpak,EST,male,2.00,sailing,0,0,0
Deniz Cinar,TUR,male,1.72,sailing,0,0,0
Dennis Goossens,BEL,male,1.60,gymnastics,0,0,0
Dennis Ombachi,KEN,male,1.85,rugby sevens,0,0,0
Denys Kostyuk,UKR,male,1.75,cycling,0,0,0
